生仔	[saang1 zai2]give birth
成年人	[sing4 nin4 jan4]adult
啤啤熊	[be1 be1 hung4]stuffed toy teddy bear
三更	[saam1 gaang1]11pm-1am; third two hours of the night (starting from 7pm)
瞓着	[fan3 zoek6]fall asleep
男生	[naam4 saang1]a schoolboy; a male student
為咩	[wai6 me1]for what?
眼鏡	[ngaan5 geng3*2]glasses; eyeglasses; spectacles
新年快樂	[san1 nin4 faai3 lok6]Happy New Year
大學	[daai6 hok6]university (學6); The Great Learning (學6*2)
大學生	[daai6 hok6 saang1]university student
大船	[daai6 syun4]ship
銀行	[ngan4 hong4]bank
餐包	[caan1 baau1]bun
姊妹	[zi2 mui6; zi2 mui6*2]sisters; bridesmaids
美金	[mei5 gam1]US dollar
美元	[mei5 jyun4]American dollar, US dollar, $
聽朝	[ting1 ziu1]tomorrow morning
方包	[fong1 baau1]sandwich bread 
大戰	[daai6 zin3]large-scale war; major match
睡着	[seoi6 zoek6]fall asleep
對不起	[deoi3 bat1 hei2]sorry; excuse me
屋子	[uk1 zi2]house; room
鼻子	[bei6 zi2]nose
那麼	[naa5 mo1]like that; so; in that case
貓咪	[maau1 mai1]kitten, kitty
不明白	[bat1 ming4 baak6]not clear; unknown; fail to understand
哪裡	[naa5 leoi5]where; no
這是	[ze5 si6]this is
那是	[naa5 si6]that is
魚兒	[jyu4 ji4][n] fish; fishes
不知道	[bat1 zi1 dou6*3]do not know
我們	[ngo5 mun4]we; us
它的	[taa1 dik1]its
當天	[dong1 tin1]that day
每天	[mui5 tin1]every day, each day
天天	[tin1 tin1]everyday
這裡	[ze2 leoi5]here
白天	[baak6 tin1]daytime
手心	[sau2 sam1]palm of the hand
生仔	[saang1 zai2]give birth
啤啤熊	[be1 be1 hung4]stuffed toy teddy bear
瞓着	[fan3 zoek6]fall asleep
聽朝	[ting1 ziu1]tomorrow morning
方包	[fong1 baau1]sandwich bread 
真係	[zan1 hai6]really
狗公	[gau2 gung1]dog (also 公狗); a "dog man"; a "john"
人地	[jan4 dei6]variant of 人哋
人哋	[jan4 dei6]other people, everybody else; he, she, they; I, me
細個	[sai3 go3]small; young
箍臣	[ku1 seon2]a cushion (loanword)
唔該	[m4 goi1] thank you ; please
老朋	[lou5 pang4*2/paang4*2]old friend
簽咭 	[cim1 kaat1]pay by card
怕擳	[paa3 zit1]ticklish (adj)
咕順	[gu1 seon6*2]cushion; pad; mat
出便	[ceot1 bin6]outside
點呀	[dim2 aa3]what's up?, what's going on?
斟水	[zam1 seoi2]pour out water
扐旗	[fik6 kei4]wave a flag
生仔	[saang1 zai2]give birth
成年人	[sing4 nin4 jan4]adult
啤啤熊	[be1 be1 hung4]stuffed toy teddy bear
三更	[saam1 gaang1]11pm-1am; third two hours of the night (starting from 7pm)
瞓着	[fan3 zoek6]fall asleep
男生	[naam4 saang1]a schoolboy; a male student
為咩	[wai6 me1]for what?
眼鏡	[ngaan5 geng3*2]glasses; eyeglasses; spectacles
新年快樂	[san1 nin4 faai3 lok6]Happy New Year
大學	[daai6 hok6]university (學6); The Great Learning (學6*2)
大學生	[daai6 hok6 saang1]university student
大船	[daai6 syun4]ship
銀行	[ngan4 hong4]bank
餐包	[caan1 baau1]bun
姊妹	[zi2 mui6; zi2 mui6*2]sisters; bridesmaids
美金	[mei5 gam1]US dollar
美元	[mei5 jyun4]American dollar, US dollar, $
聽朝	[ting1 ziu1]tomorrow morning
方包	[fong1 baau1]sandwich bread 
大戰	[daai6 zin3]large-scale war; major match
成年人	[sing4 nin4 jan4]adult
三更	[saam1 gaang1]11pm-1am; third two hours of the night (starting from 7pm)
男生	[naam4 saang1]a schoolboy; a male student
為咩	[wai6 me1]for what?
眼鏡	[ngaan5 geng3*2]glasses; eyeglasses; spectacles
新年快樂	[san1 nin4 faai3 lok6]Happy New Year
大學	[daai6 hok6]university (學6); The Great Learning (學6*2)
大學生	[daai6 hok6 saang1]university student
大船	[daai6 syun4]ship
銀行	[ngan4 hong4]bank
餐包	[caan1 baau1]bun
姊妹	[zi2 mui6; zi2 mui6*2]sisters; bridesmaids
美金	[mei5 gam1]US dollar
美元	[mei5 jyun4]American dollar, US dollar, $
大戰	[daai6 zin3]large-scale war; major match
全世界	[cyun4 sai3 gaai3]the whole world; worldwide
任何時間	[jam6 ho4 si4 gaan1*3]anytime
知道	[zi1 dou6*3]to know
有病	[jau5 beng6]to be sick; become ill
禮品	[lai5 ban2]gift; present
生仔	[saang1 zai2]give birth
成年人	[sing4 nin4 jan4]adult
啤啤熊	[be1 be1 hung4]stuffed toy teddy bear
三更	[saam1 gaang1]11pm-1am; third two hours of the night (starting from 7pm)
瞓着	[fan3 zoek6]fall asleep
男生	[naam4 saang1]a schoolboy; a male student
為咩	[wai6 me1]for what?
眼鏡	[ngaan5 geng3*2]glasses; eyeglasses; spectacles
新年快樂	[san1 nin4 faai3 lok6]Happy New Year
大學	[daai6 hok6]university (學6); The Great Learning (學6*2)
大學生	[daai6 hok6 saang1]university student
大船	[daai6 syun4]ship
銀行	[ngan4 hong4]bank
餐包	[caan1 baau1]bun
姊妹	[zi2 mui6; zi2 mui6*2]sisters; bridesmaids
美金	[mei5 gam1]US dollar
美元	[mei5 jyun4]American dollar, US dollar, $
聽朝	[ting1 ziu1]tomorrow morning
方包	[fong1 baau1]sandwich bread 
大戰	[daai6 zin3]large-scale war; major match
生仔	[saang1 zai2]give birth
成年人	[sing4 nin4 jan4]adult
啤啤熊	[be1 be1 hung4]stuffed toy teddy bear
三更	[saam1 gaang1]11pm-1am; third two hours of the night (starting from 7pm)
瞓着	[fan3 zoek6]fall asleep
男生	[naam4 saang1]a schoolboy; a male student
為咩	[wai6 me1]for what?
眼鏡	[ngaan5 geng3*2]glasses; eyeglasses; spectacles
新年快樂	[san1 nin4 faai3 lok6]Happy New Year
大學	[daai6 hok6]university (學6); The Great Learning (學6*2)
大學生	[daai6 hok6 saang1]university student
大船	[daai6 syun4]ship
銀行	[ngan4 hong4]bank
餐包	[caan1 baau1]bun
姊妹	[zi2 mui6; zi2 mui6*2]sisters; bridesmaids
美金	[mei5 gam1]US dollar
美元	[mei5 jyun4]American dollar, US dollar, $
聽朝	[ting1 ziu1]tomorrow morning
方包	[fong1 baau1]sandwich bread 
大戰	[daai6 zin3]large-scale war; major match
生仔	[saang1 zai2]give birth
成年人	[sing4 nin4 jan4]adult
啤啤熊	[be1 be1 hung4]stuffed toy teddy bear
三更	[saam1 gaang1]11pm-1am; third two hours of the night (starting from 7pm)
瞓着	[fan3 zoek6]fall asleep
男生	[naam4 saang1]a schoolboy; a male student
為咩	[wai6 me1]for what?
眼鏡	[ngaan5 geng3*2]glasses; eyeglasses; spectacles
新年快樂	[san1 nin4 faai3 lok6]Happy New Year
大學	[daai6 hok6]university (學6); The Great Learning (學6*2)
大學生	[daai6 hok6 saang1]university student
大船	[daai6 syun4]ship
銀行	[ngan4 hong4]bank
餐包	[caan1 baau1]bun
姊妹	[zi2 mui6; zi2 mui6*2]sisters; bridesmaids
美金	[mei5 gam1]US dollar
美元	[mei5 jyun4]American dollar, US dollar, $
聽朝	[ting1 ziu1]tomorrow morning
方包	[fong1 baau1]sandwich bread 
大戰	[daai6 zin3]large-scale war; major match
