一一	[jat1 jat1]one by one/one after another
一一對應	[jat1 jat1 deoi3 jing1]one-to-one correspondence
一一映射	[jat1 jat1 jing2 se6]bijective map (i.e. map between sets in math. that is one-to-one and onto)/one-to-one correspondence
一丁不識	[jat1 ding1 bat1 sik1]illiterate/ignorant
一丁點	[jat1 ding1 dim2]a tiny bit/a wee bit
一下	[jat1 haa6](used after a verb) give it a go/to do (sth for a bit to give it a try)/one time/once/in a while/all of a sudden/all at once
一下兒	[jat1 haa6 ji4]erhua variant of 一下[yi1 xia4]
一下子	[jat1 haa6 zi2]in a short while/all at once/all of a sudden
一世	[jat1 sai3]generation/period of 30 years/one's whole lifetime/lifelong/age/era/times/the whole world/the First (of numbered European kings)
一並	[jat1 bing6]variant of 一併|一并, to lump together/to treat along with all the others
一中一台	[jat1 zung1 jat1 toi4]one China and one Taiwan (policy)
一中原則	[jat1 zung1 jyun4 zak1]One-China principle, the official doctrine that Taiwan is a province of China
一串	[jat1 cyun3]strand
一之為甚	[jat1 zi1 wai4 sam6]Once is enough (idiom)
一之謂甚	[jat1 zi1 wai6 sam6]see 一之為甚|一之为甚[yi1 zhi1 wei2 shen4]
一乾二淨	[jat1 gon1 ji6 zing6]thoroughly (idiom)/completely/one and all/very clean
一了百了	[jat1 liu5 baak3 liu5]once the main problem is solved, all troubles are solved/death ends all one's troubles
一事無成	[jat1 si6 mou4 sing4]to have achieved nothing/to be a total failure/to get nowhere
一二八事變	[jat1 ji6 baat3 si6 bin3]Shanghai incident of 28th January 1932, Chinese uprising against Japanese quarters of Shanghai
一些	[jat1 se1]some/a few/a little
一介不取	[jat1 gaai3 bat1 ceoi2]to not even take a penny (as a bribe)
一代	[jat1 doi6]generation
一代不如一代	[jat1 doi6 bat1 jyu4 jat1 doi6]to be getting worse with each generation
一併	[jat1 bing3]to lump together/to treat along with all the others
一來	[jat1 loi4]on one hand,...
一來二去	[jat1 loi4 ji6 heoi3]gradually/little by little/in the course of time
一個中國政策	[jat1 go3 zung1 gwok3 zing3 caak3]one China policy
一個人	[jat1 go3 jan4]by oneself (without assistance)/alone (without company)
一個個	[jat1 go3 go3]each and every one
一個勁	[jat1 go3 ging6]continuously/persistently/incessantly
一個勁兒	[jat1 go3 ging6 ji4]erhua variant of 一個勁|一个劲[yi1 ge4 jin4]
一個巴掌拍不響	[jat1 go3 baa1 zoeng2 paak3 bat1 hoeng2]lit. one palm alone cannot clap (proverb)/fig. it takes two persons to start a dispute/it takes two to tango/it's difficult to achieve anything without support
一個幽靈在歐洲遊蕩	[jat1 go3 jau1 ling4 zoi6 au1 zau1 jau4 dong6]Ein Gespenst geht um in Europa./the opening sentence of Marx and Engels' "Communist Manifesto"
